bad_driving_time,bad_driving_lng,bad_driving_lat,bad_driving_name,bad_driving_info
2018-09-07 22:48:56,115.832721,27.417265000000004,急减速,"加速度达到-3.06m/s^2,超过-3m/s^2"
2018-09-07 22:49:08,115.83266100000002,27.417505,急加速,"加速度达到3.33m/s^2,超过3m/s^2"
2018-09-07 22:49:41,115.831001,27.418756,急减速,"加速度达到-3.61m/s^2,超过-3m/s^2"
2018-09-07 22:49:47,115.830903,27.418793,急加速,"加速度达到3.33m/s^2,超过3m/s^2"
2018-09-07 22:50:04,115.830348,27.419121,急减速,"加速度达到-3.06m/s^2,超过-3m/s^2"
2018-09-07 22:51:51,115.823683,27.423653,急减速,"加速度达到-3.06m/s^2,超过-3m/s^2"
2018-09-07 22:52:46,115.823596,27.423725,急加速,"加速度达到3.33m/s^2,超过3m/s^2"
2018-09-07 22:54:39,115.811985,27.423516,急变道,"方向角变化数为：31,超过30"
2018-09-07 22:54:47,115.811893,27.423858000000006,急减速,"加速度达到-3.89m/s^2,超过-3m/s^2"
2018-09-07 22:55:03,115.811518,27.424043,急减速,"加速度达到-3.06m/s^2,超过-3m/s^2"
2018-09-07 22:55:03,115.811518,27.424043,超长怠速,"超长怠速时长为146秒,超过120秒"
2018-09-07 22:57:29,115.81146,27.424133,急加速,"加速度达到3.61m/s^2,超过3m/s^2"
2018-09-07 22:57:29,115.81146,27.424133,急变道,"方向角变化数为：65,超过30"
2018-09-07 22:57:48,115.811521,27.424926,急变道,"方向角变化数为：32,超过30"
2018-09-07 22:58:17,115.810788,27.42383,急减速,"加速度达到-3.06m/s^2,超过-3m/s^2"
2018-09-07 22:58:17,115.810788,27.42383,超长怠速,"超长怠速时长为185秒,超过120秒"
2018-09-07 23:01:22,115.810776,27.423765000000003,急加速,"加速度达到3.06m/s^2,超过3m/s^2"
2018-09-07 23:01:50,115.811668,27.423121,急减速,"加速度达到-3.61m/s^2,超过-3m/s^2"
2018-09-07 23:02:22,115.811793,27.423140000000004,急加速,"加速度达到3.89m/s^2,超过3m/s^2"
2018-09-07 23:06:01,115.82997,27.419351,急减速,"加速度达到-3.33m/s^2,超过-3m/s^2"
2018-09-07 23:06:07,115.830078,27.419231,急加速,"加速度达到3.61m/s^2,超过3m/s^2"
2018-09-07 23:07:13,115.833021,27.417281,急减速,"加速度达到-3.06m/s^2,超过-3m/s^2"
2018-09-07 23:07:13,115.833021,27.417281,超长怠速,"超长怠速时长为1975秒,超过120秒"
2018-09-07 23:07:20,115.833075,27.417166,急变道,"方向角变化数为：52,超过30"
2018-09-07 23:07:36,115.833026,27.417153000000006,急变道,"方向角变化数为：149,超过30"
2018-09-07 23:07:43,115.833068,27.417173,急变道,"方向角变化数为：87,超过30"
2018-09-07 23:39:51,115.832976,27.417111,急变道,"方向角变化数为：131,超过30"
2018-09-07 23:40:08,115.832696,27.416968,急加速,"加速度达到3.33m/s^2,超过3m/s^2"
2018-09-07 23:42:31,115.831231,27.401685,急减速,"加速度达到-3.61m/s^2,超过-3m/s^2"
2018-09-07 23:42:33,115.831251,27.401641,急减速,"加速度达到-6.39m/s^2,超过-3m/s^2"
2018-09-07 23:43:31,115.83125,27.401575,急加速,"加速度达到3.33m/s^2,超过3m/s^2"
